machine_id,timestamp,temperature_c,vibration_mm_s,pressure_psi
M001,2026-06-01 00:00:00,61.99,2.88,79.84
M001,2026-06-01 06:00:00,61.74,2.45,77.93
M001,2026-06-01 12:00:00,63.7,3.15,79.16
M001,2026-06-01 18:00:00,62.55,2.32,79.04
M001,2026-06-02 00:00:00,60.92,3.14,81.23
M001,2026-06-02 06:00:00,59.03,2.03,77.13
M001,2026-06-02 12:00:00,62.16,2.78,82.5
M001,2026-06-02 18:00:00,58.14,2.85,80.33
M001,2026-06-03 00:00:00,62.78,2.88,87.27
M001,2026-06-03 06:00:00,63.98,2.71,81.51
M001,2026-06-03 12:00:00,59.93,2.37,74.62
M001,2026-06-03 18:00:00,59.1,2.87,77.53
M001,2026-06-04 00:00:00,62.8,3.08,80.88
M001,2026-06-04 06:00:00,63.04,2.42,79.91
M001,2026-06-04 12:00:00,64.79,2.35,83.09
M001,2026-06-04 18:00:00,65.3,2.82,75.19
M001,2026-06-05 00:00:00,62.52,2.66,81.64
M001,2026-06-05 06:00:00,63.34,2.45,77.7
M001,2026-06-05 12:00:00,61.56,2.4,80.69
M001,2026-06-05 18:00:00,61.64,3.48,77.16
M001,2026-06-06 00:00:00,60.31,2.82,82.85
M001,2026-06-06 06:00:00,66.45,3.18,82.7
M001,2026-06-06 12:00:00,62.46,2.96,78.4
M001,2026-06-06 18:00:00,61.25,2.25,79.54
M001,2026-06-07 00:00:00,63.82,2.63,77.9
M001,2026-06-07 06:00:00,61.17,2.91,79.45
M001,2026-06-07 12:00:00,63.59,2.3,77.61
M001,2026-06-07 18:00:00,60.88,2.3,89.05
M001,2026-06-08 00:00:00,59.72,2.97,78.21
M001,2026-06-08 06:00:00,60.88,2.79,75.84
M001,2026-06-08 12:00:00,60.58,2.65,77.67
M001,2026-06-08 18:00:00,60.26,3.02,83.23
M001,2026-06-09 00:00:00,61.04,2.67,83.92
M001,2026-06-09 06:00:00,59.07,2.8,86.13
M001,2026-06-09 12:00:00,65.85,2.12,77.92
M001,2026-06-09 18:00:00,62.26,2.3,78.2
M001,2026-06-10 00:00:00,61.66,3.12,80.06
M001,2026-06-10 06:00:00,62.37,2.86,81.83
M001,2026-06-10 12:00:00,61.99,2.34,82.57
M001,2026-06-10 18:00:00,62.8,2.37,78.15
M001,2026-06-11 00:00:00,63.73,2.89,78.03
M001,2026-06-11 06:00:00,61.41,2.66,82.04
M001,2026-06-11 12:00:00,64.45,2.73,83.7
M001,2026-06-11 18:00:00,63.7,2.77,75.86
M001,2026-06-12 00:00:00,59.91,2.93,75.05
M001,2026-06-12 06:00:00,62.21,3.01,80.64
M001,2026-06-12 12:00:00,60.77,2.45,82.63
M001,2026-06-12 18:00:00,62.91,2.62,83.38
M001,2026-06-13 00:00:00,63.69,3.25,81.88
M001,2026-06-13 06:00:00,61.65,2.67,74.37
M001,2026-06-13 12:00:00,62.28,2.71,76.19
